Fecha Guía 1 (Vieja),Guía 1,Fecha Guía 2 (Nueva),Guía 2,Diferencia (seg),Son Consecutivas
2026-01-07 22:51:31.146,411232446278,2026-01-07 22:51:31.252,411232446279,0.106,SÍ
2026-01-07 22:51:31.146,411232446278,2026-01-07 22:51:31.318,411232446277,0.172,SÍ
2026-01-07 22:51:31.252,411232446279,2026-01-07 22:51:31.318,411232446277,0.066,NO
2026-01-08 09:08:00.541,111232453165,2026-01-08 09:08:00.646,111232453164,0.105,SÍ
2026-01-08 10:05:47.042,411232458305,2026-01-08 10:06:27.302,111232458416,40.26,NO
2026-01-08 10:09:05.408,111232458699,2026-01-08 10:09:05.510,111232458700,0.102,SÍ
2026-01-08 10:40:31.836,191232462505,2026-01-08 10:40:53.876,211232462553,22.04,NO
2026-01-09 09:26:34.184,111232551987,2026-01-09 09:26:51.018,211232552009,16.834,NO
2026-01-09 10:35:37.959,411232559748,2026-01-09 10:35:47.785,111232559784,9.826,NO
2026-01-09 10:40:35.866,111232560512,2026-01-09 10:41:12.275,211232560606,36.409,NO
2026-01-09 21:47:34.034,411232640098,2026-01-09 21:47:34.140,411232640099,0.106,SÍ
2026-01-10 09:29:58.947,211232647206,2026-01-10 09:30:43.139,111232647244,44.192,NO
2026-01-12 09:48:51.425,191232700703,2026-01-12 09:49:24.330,111232700782,32.905,NO
2026-01-12 10:00:53.893,411232701867,2026-01-12 10:01:29.246,111232701939,35.353,NO
2026-01-13 09:45:23.936,411232797719,2026-01-13 09:45:52.295,211232797784,28.359,NO
2026-01-13 09:47:49.405,411232798005,2026-01-13 09:48:24.737,211232798053,35.332,NO
2026-01-13 09:59:43.294,111232799162,2026-01-13 09:59:51.582,411232799179,8.288,NO
2026-01-13 10:08:42.623,411232799933,2026-01-13 10:08:45.332,111232799941,2.709,NO
2026-01-13 11:44:54.931,411232813153,2026-01-13 11:45:30.486,111232813258,35.555,NO
2026-01-13 11:47:05.033,211232813487,2026-01-13 11:47:48.185,111232813583,43.152,NO
2026-01-14 12:51:08.579,411232923166,2026-01-14 12:51:28.548,111232923222,19.969,NO
2026-01-15 10:43:44.695,111232997357,2026-01-15 10:43:44.797,111232997358,0.102,SÍ
2026-01-19 09:56:26.305,111233228622,2026-01-19 09:56:26.402,111233228623,0.097,SÍ
2026-01-19 12:38:42.848,111233248903,2026-01-19 12:38:43.027,111233248902,0.179,SÍ
2026-01-20 10:38:58.167,111233324212,2026-01-20 10:38:58.213,111233324211,0.046,SÍ
2026-01-20 11:18:10.439,111233329460,2026-01-20 11:18:35.215,411233329524,24.776,NO
2026-01-21 09:20:42.735,211233409055,2026-01-21 09:21:19.165,111233409099,36.43,NO
2026-01-21 10:13:49.083,211233414086,2026-01-21 10:14:05.363,111233414111,16.28,NO
2026-01-21 10:57:59.106,111233419240,2026-01-21 10:57:59.127,111233419239,0.021,SÍ
2026-01-21 11:02:29.624,211233419808,2026-01-21 11:02:55.271,111233419924,25.647,NO
2026-01-21 11:02:29.624,211233419808,2026-01-21 11:02:55.346,111233419925,25.722,NO
2026-01-21 11:02:55.271,111233419924,2026-01-21 11:02:55.346,111233419925,0.075,SÍ
